census_id,csdname,race,office,district_scope,district,n_candidates,retrieved
3537039,Windsor,ward,Councillor,Ward,Ward 3,2,2026-08-11
3537039,Windsor,ward,Councillor,Ward,Ward 4,2,2026-08-11
3537039,Windsor,ward,Councillor,Ward,Ward 7,2,2026-08-11
3537039,Windsor,ward,Councillor,Ward,Ward 8,2,2026-08-11
3537039,Windsor,ward,Councillor,Ward,Ward 10,2,2026-08-11
3543042,Barrie,ward,Councillor,Ward,Ward 6,1,2026-08-11
3543042,Barrie,ward,Councillor,Ward,Ward 7,1,2026-08-11
3530010,Cambridge,ward,"Councillor, Ward",Ward,Ward 3,1,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,ward,Councillor,Ward,Ward 1,1,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,ward,Councillor,Ward,Ward 5,1,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,ward,Councillor,Ward,Ward 7,1,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,ward,Councillor,Ward,Ward 9,1,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 5,1,2026-08-11
3543017,Innisfil,ward,Councillor,Ward,Ward 7,1,2026-08-11
3510010,Kingston,ward,Councillor,Ward,District 5 - Portsmouth,1,2026-08-11
3510010,Kingston,ward,Councillor,Ward,District 6 - Trillium,1,2026-08-11
3510010,Kingston,ward,Councillor,Ward,District 9 - Williamsville,1,2026-08-11
3530013,Kitchener,ward,"Councillor, Ward",Ward,Ward 1,1,2026-08-11
3519036,Markham,mayor,Mayor,At-large,At-large,1,2026-08-11
3519036,Markham,ward,"Councillor, Ward",Ward,Ward 4,1,2026-08-11
3519036,Markham,ward,"Councillor, Ward",Ward,Ward 6,1,2026-08-11
3524009,Milton,regional councillor,"Councillor, Regional",Ward,Ward 1,1,2026-08-11
