census_id,csdname,county,system,board_number,board_name,split,n_sources,evidence
3541015,Huron-Kinloss,Bruce,catholic,B67008,Bruce-Grey Catholic District School Board,0,1,county-inference
3541015,Huron-Kinloss,Bruce,public,B66001,Bluewater District School Board,0,1,schools
3560001,Ignace,Kenora,public,B28045,Keewatin-Patricia District School Board,0,1,schools
3532018,Ingersoll,Oxford,catholic,B67032,London District Catholic School Board,0,3,harvest|schools|sections
3532018,Ingersoll,Oxford,public,B66044,Thames Valley District School Board,0,4,crawl|harvest|schools|sections
3543017,Innisfil,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,0,4,crawl|harvest|schools|sections
3543017,Innisfil,Simcoe,public,B66109,Simcoe County District School Board,0,4,crawl|harvest|schools|sections
3556031,Iroquois Falls,Cochrane,catholic,B29009,Northeastern Catholic District School Board,0,1,schools
3556031,Iroquois Falls,Cochrane,public,B28002,District School Board Ontario North East,0,1,schools
3554042,James,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3554042,James,Timiskaming,public,B28002,District School Board Ontario North East,0,1,schools
3557001,Jocelyn,Algoma,catholic,B29025,Huron-Superior Catholic District School Board,0,1,county-inference
3557001,Jocelyn,Algoma,public,B28010,Algoma District School Board,0,1,county-inference
3557016,Johnson,Algoma,catholic,B29025,Huron-Superior Catholic District School Board,0,1,county-inference
3557016,Johnson,Algoma,public,B28010,Algoma District School Board,0,1,schools
3549051,Joly,Parry Sound,public,B28037,Near North District School Board,0,1,county-inference
3556066,Kapuskasing,Cochrane,catholic,B29009,Northeastern Catholic District School Board,0,1,schools
3556066,Kapuskasing,Cochrane,public,B28002,District School Board Ontario North East,0,1,schools
3516010,Kawartha Lakes,Kawartha Lakes,catholic,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,0,1,schools
3516010,Kawartha Lakes,Kawartha Lakes,public,B66087,Trillium Lakelands District School Board,0,1,schools
3549018,Kearney,Parry Sound,public,B28037,Near North District School Board,0,1,county-inference
3560010,Kenora,Kenora,catholic,B29050,Kenora Catholic District School Board,0,2,harvest|schools
3560010,Kenora,Kenora,public,B28045,Keewatin-Patricia District School Board,1,2,harvest|schools
3560010,Kenora,Kenora,public,B28053,Rainy River District School Board,1,1,schools
3554024,Kerns,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3554024,Kerns,Timiskaming,public,B28002,District School Board Ontario North East,0,1,schools
3547033,"Killaloe, Hagarty and Richards",Renfrew,catholic,B67199,Renfrew County Catholic District School Board,0,1,schools
3547033,"Killaloe, Hagarty and Richards",Renfrew,public,B66214,Renfrew County District School Board,0,1,schools
3552036,Killarney,Sudbury,catholic,B29033,Sudbury Catholic District School Board,0,2,harvest|schools
3541024,Kincardine,Bruce,catholic,B67008,Bruce-Grey Catholic District School Board,0,3,crawl|schools|sections
3541024,Kincardine,Bruce,public,B66001,Bluewater District School Board,0,2,crawl|schools
3519049,King,York,catholic,B67075,York Catholic District School Board,0,1,schools
3519049,King,York,public,B66095,York Region District School Board,0,1,schools
3510010,Kingston,Frontenac,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,0,1,schools
3510010,Kingston,Frontenac,public,B66206,Limestone District School Board,0,3,crawl|schools|sections
3537013,Kingsville,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,0,3,crawl|harvest|schools
3537013,Kingsville,Essex,public,B66028,Greater Essex County District School Board,0,3,crawl|harvest|schools
3554068,Kirkland Lake,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,1,schools
3554068,Kirkland Lake,Timiskaming,public,B28002,District School Board Ontario North East,0,1,schools
3530013,Kitchener,Waterloo,catholic,B67148,Waterloo Catholic District School Board,0,2,crawl|schools
3530013,Kitchener,Waterloo,public,B66176,Waterloo Region District School Board,0,3,crawl|harvest|schools
3559016,La Vallee,Rainy River,catholic,B29041,Northwest Catholic District School Board,0,1,county-inference
3559016,La Vallee,Rainy River,public,B28053,Rainy River District School Board,0,1,schools
3537034,LaSalle,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,0,1,schools
3537034,LaSalle,Essex,public,B66028,Greater Essex County District School Board,0,1,schools
3557011,Laird,Algoma,catholic,B29025,Huron-Superior Catholic District School Board,0,1,county-inference
3557011,Laird,Algoma,public,B28010,Algoma District School Board,0,1,county-inference
3544027,Lake of Bays,Muskoka,catholic,B67091,Simcoe Muskoka Catholic District School Board,0,1,county-inference
3544027,Lake of Bays,Muskoka,public,B66087,Trillium Lakelands District School Board,0,1,schools
3559047,Lake of the Woods,Rainy River,catholic,B29041,Northwest Catholic District School Board,0,1,county-inference
3559047,Lake of the Woods,Rainy River,public,B28053,Rainy River District School Board,0,1,schools
3537064,Lakeshore,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,0,1,schools
3537064,Lakeshore,Essex,public,B66028,Greater Essex County District School Board,0,1,schools
3538040,Lambton Shores,Lambton,catholic,B67040,St Clair Catholic District School Board,0,2,schools|sections
3538040,Lambton Shores,Lambton,public,B66036,Lambton Kent District School Board,0,3,crawl|schools|sections
3509039,Lanark Highlands,Lanark,catholic,B67172,Catholic District School Board of Eastern Ontario,0,1,county-inference
3509039,Lanark Highlands,Lanark,public,B66192,Upper Canada District School Board,0,1,county-inference
3554062,Larder Lake,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3554062,Larder Lake,Timiskaming,public,B28002,District School Board Ontario North East,0,1,county-inference
3554006,Latchford,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3554006,Latchford,Timiskaming,public,B28002,District School Board Ontario North East,0,1,county-inference
3547090,Laurentian Hills,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,0,1,schools
3547090,Laurentian Hills,Renfrew,public,B66214,Renfrew County District School Board,0,1,county-inference
3547075,Laurentian Valley,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,0,1,county-inference
3547075,Laurentian Valley,Renfrew,public,B66214,Renfrew County District School Board,0,1,schools
3537003,Leamington,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,0,3,crawl|schools|sections
3537003,Leamington,Essex,public,B66028,Greater Essex County District School Board,0,2,crawl|schools
3507021,Leeds and the Thousand Islands,Leeds and Grenville,catholic,B67172,Catholic District School Board of Eastern Ontario,0,1,crawl
3507021,Leeds and the Thousand Islands,Leeds and Grenville,public,B66192,Upper Canada District School Board,0,3,crawl|harvest|sections
3512051,Limerick,Hastings,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,0,1,county-inference
3512051,Limerick,Hastings,public,B66222,Hastings & Prince Edward District School Board,0,1,county-inference
3526057,Lincoln,Niagara,catholic,B67156,Niagara Catholic District School Board,0,2,crawl|schools
3526057,Lincoln,Niagara,public,B66150,District School Board of Niagara,0,2,crawl|schools
3539036,London,Middlesex,catholic,B67032,London District Catholic School Board,0,1,schools
3539036,London,Middlesex,public,B66044,Thames Valley District School Board,0,1,schools
3511005,Loyalist,Lennox and Addington,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,0,3,crawl|schools|sections
3511005,Loyalist,Lennox and Addington,public,B66206,Limestone District School Board,0,3,crawl|schools|sections
3539060,Lucan Biddulph,Middlesex,catholic,B67032,London District Catholic School Board,0,1,schools
3539060,Lucan Biddulph,Middlesex,public,B66044,Thames Valley District School Board,0,1,schools
3557051,"Macdonald, Meredith and Aberdeen Additional",Algoma,catholic,B29025,Huron-Superior Catholic District School Board,0,1,county-inference
3557051,"Macdonald, Meredith and Aberdeen Additional",Algoma,public,B28010,Algoma District School Board,0,1,county-inference
3549054,Machar,Parry Sound,public,B28037,Near North District School Board,0,1,county-inference
3560021,Machin,Kenora,public,B28045,Keewatin-Patricia District School Board,0,1,schools
3547030,Madawaska Valley,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,0,1,schools
3547030,Madawaska Valley,Renfrew,public,B66214,Renfrew County District School Board,0,1,schools
3512036,Madoc,Hastings,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,0,1,county-inference
3512036,Madoc,Hastings,public,B66222,Hastings & Prince Edward District School Board,0,1,schools
3549043,Magnetawan,Parry Sound,public,B28037,Near North District School Board,0,1,schools
3534010,Malahide,Elgin,catholic,B67032,London District Catholic School Board,0,2,crawl|sections
3534010,Malahide,Elgin,public,B66044,Thames Valley District School Board,0,2,crawl|schools
3558066,Manitouwadge,Thunder Bay,catholic,B29076,Superior North Catholic District School Board,0,3,crawl|schools|sections
3558066,Manitouwadge,Thunder Bay,public,B28070,Superior-Greenstone District School Board,0,2,crawl|schools
