census_id,csdname,county,system,board_number,board_name,n_schools,enrolment
3519028,Vaughan,York,catholic,B67075,York Catholic District School Board,37,17055
3519028,Vaughan,York,public,B66095,York Region District School Board,47,27495
3526014,Wainfleet,Niagara,catholic,B67156,Niagara Catholic District School Board,1,95
3526014,Wainfleet,Niagara,public,B66150,District School Board of Niagara,1,440
3538043,Warwick,Lambton,catholic,B67040,St Clair Catholic District School Board,1,210
3538043,Warwick,Lambton,public,B66036,Lambton Kent District School Board,1,225
3543064,Wasaga Beach,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,1,590
3543064,Wasaga Beach,Simcoe,public,B66109,Simcoe County District School Board,3,1555
3530016,Waterloo,Waterloo,catholic,B67148,Waterloo Catholic District School Board,13,5420
3530016,Waterloo,Waterloo,public,B66176,Waterloo Region District School Board,29,16520
3526032,Welland,Niagara,catholic,B67156,Niagara Catholic District School Board,8,3165
3526032,Welland,Niagara,public,B66150,District School Board of Niagara,11,5250
3530027,Wellesley,Waterloo,catholic,B67148,Waterloo Catholic District School Board,1,250
3530027,Wellesley,Waterloo,public,B66176,Waterloo Region District School Board,2,990
3523050,Wellington North,Wellington,catholic,B67130,Wellington Catholic District School Board,2,460
3523050,Wellington North,Wellington,public,B66117,Upper Grand District School Board,4,1440
3534042,West Elgin,Elgin,catholic,B67032,London District Catholic School Board,1,235
3534042,West Elgin,Elgin,public,B66044,Thames Valley District School Board,2,630
3542004,West Grey,Grey,catholic,B67008,Bruce-Grey Catholic District School Board,1,200
3542004,West Grey,Grey,public,B66001,Bluewater District School Board,2,540
3526021,West Lincoln,Niagara,catholic,B67156,Niagara Catholic District School Board,1,515
3526021,West Lincoln,Niagara,public,B66150,District School Board of Niagara,4,1345
3548055,West Nipissing / Nipissing Ouest,Nipissing,catholic,B29017,Nipissing-Parry Sound Catholic District School Board,1,210
3548055,West Nipissing / Nipissing Ouest,Nipissing,public,B28037,Near North District School Board,3,565
3531025,West Perth,Perth,catholic,B67016,Huron Perth Catholic District School Board,1,110
